Termo,Parágrafo,Data_acesso,Fonte,Link,Titulo
abdomen,"abdômen, na anatomia humana, a cavidade do corpo situada entre o tórax ou tórax acima e a pelve abaixo e da coluna vertebral nas costas até a parede dos músculos abdominais na frente. o diafragma é seu limite superior. não há parede ou limite bem definido entre ela e a pelve. contém órgãos da digestão e o baço, que são circundados por uma membrana serosa, o peritônio.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/abdomen,Abdômen
beard,"barba, cabelo crescido no queixo e nas bochechas de um homem. freqüentemente um distintivo de masculinidade plena, foi tido em alta honra em vários períodos da história. usar barba é uma questão de observância religiosa para homens de muitas religiões, como alguns judeus, muçulmanos, sikhs e cristãos.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/beard,Barba
stomach,"estômago, expansão em forma de saco do sistema digestivo, entre o esôfago e o intestino delgado; está localizado na porção anterior da cavidade abdominal na maioria dos vertebrados. o estômago serve como um receptáculo temporário para armazenamento e distribuição mecânica de alimentos antes de passarem para o intestino. em animais cujos estômagos contêm glândulas digestivas, alguns dos processos químicos da digestão também ocorrem no estômago.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/stomach,Estômago
bladder,"bexiga, saco membranoso em animais que serve como receptáculo de um fluido ou gás. veja vesícula biliar; bexiga de natação ; bexiga urinária .",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/bladder,Bexiga
amygdala,"amígdala, região do cérebro associada principalmente a processos emocionais. o nome amígdala é derivado da palavra grega amygdale, que significa “amêndoa”, devido ao formato amendoado da estrutura. a amígdala está localizada no lobo temporal medial, logo anterior (na frente) do hipocampo. semelhante ao hipocampo, a amígdala é uma estrutura pareada, localizada em cada hemisfério do cérebro. a amígdala faz parte do sistema límbico, uma rede neural que medeia muitos aspectos da emoção e da memória. embora historicamente a amígdala tenha sido considerada envolvida principalmente no medo e em outras emoções relacionadas a estímulos aversivos (desagradáveis), sabe-se agora que ela está envolvida em emoções positivas provocadas por estímulos apetitivos (recompensadores).",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/amygdala,Amígdala
forearm,"Braço, em zoologia, um dos membros anteriores ou superiores de vertebrados normalmente bípedes, particularmente humanos e outros primatas. O termo às vezes é restrito à parte proximal, do ombro ao cotovelo (a parte distal é então chamada de antebraço). Nos primatas braquiadores (balançadores de árvores), o braço é excepcionalmente longo.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/forearm,Antebraço
appendix,"apêndice, em anatomia, um tubo oco vestigial que é fechado em uma extremidade e preso na outra extremidade ao ceco, um início em forma de bolsa do intestino grosso no qual o intestino delgado esvazia seu conteúdo. não está claro se o apêndice serve a algum propósito útil em humanos. as funções suspeitas incluem abrigar e cultivar uma flora intestinal benéfica que pode repovoar o sistema digestivo após uma doença que destrua as populações normais dessa flora; fornecer um local para a produção de células endócrinas no feto que produzem moléculas importantes na regulação da homeostase; e desempenhando um possível papel na função imunológica durante as primeiras três décadas de vida, expondo leucócitos (glóbulos brancos) a antígenos no trato gastrointestinal, estimulando assim a produção de anticorpos que podem ajudar a modular as reações imunológicas no intestino. embora as funções específicas do apêndice humano permaneçam obscuras, existe um consenso geral entre os cientistas de que o apêndice está gradualmente desaparecendo da espécie humana ao longo do tempo evolutivo. a obstrução do apêndice pode causar apendicite, uma inflamação dolorosa e potencialmente perigosa.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/appendix,Apêndice
aponeurosis,"aponeurose, uma folha plana ou fita de material semelhante a um tendão que ancora um músculo ou o conecta à parte que o músculo se move. a aponeurose é composta de tecido conjuntivo fibroso denso contendo fibroblastos (células fusiformes secretoras de colágeno) e feixes de fibras colágenas em arranjos ordenados. as aponeuroses são estruturalmente semelhantes aos tendões e ligamentos.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/aponeurosis,Aponeurose
thigh,"Músculo quadríceps femoral, grande grupo de músculos carnudos que cobre a parte frontal e as laterais da coxa. Possui quatro partes: reto femoral, vasto lateral, vasto medial e vasto intermediário. Eles se originam no ílio (parte superior da pelve ou osso do quadril) e no fêmur (osso da coxa), unem-se em um tendão que envolve a patela (rótula) e se inserem (estão ligados) à tíbia (tíbia). Esses músculos estendem as pernas na altura do joelho e são importantes para ficar em pé, caminhar e quase todas as atividades que envolvem as pernas.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/thigh,Coxa
bulb,"bulbo, em botânica, um caule modificado que é o estágio de repouso de certas plantas com sementes, particularmente monocotiledôneas perenes. um bulbo consiste em um botão subterrâneo relativamente grande, geralmente em forma de globo, com folhas membranosas ou carnudas sobrepostas que surgem de um caule curto. as folhas carnudas de um bulbo – que em algumas espécies são, na verdade, bases foliares expandidas – funcionam como reservas alimentares que permitem que uma planta permaneça dormente quando a água não está disponível (durante o inverno ou a seca) e retome seu crescimento ativo quando condições favoráveis ​​prevalecerem novamente.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/bulb,Lâmpada
dermis,"derme, a camada mais espessa e profunda da pele subjacente à epiderme e composta de tecido conjuntivo. está presente em vários graus de desenvolvimento entre vários grupos de vertebrados, sendo relativamente fino e simples em animais aquáticos e progressivamente mais espesso e complexo em espécies terrestres.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/dermis,Derme
glans,"glande, gênero de pequenos pelecípodes (amêijoas) especialmente característicos da época miocena (entre 23,7 e 5,3 milhões de anos atrás). a ornamentação da concha inclui nervuras proeminentes que se estendem do ápice até a margem em ampla expansão. as costelas são divididas em um padrão nodoso por linhas finas, perpendiculares ao seu eixo de crescimento. internamente, a margem da concha apresenta um padrão denticulado formado por cristas e depressões alternadas.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/glans,Glande
glottis,"glote, seja o espaço entre a prega vocal e a cartilagem aritenóide de um lado da laringe e as do outro lado, ou as estruturas que circundam esse espaço. veja laringe.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/glottis,Glote
duodenum,"duodeno, a primeira parte do intestino delgado, que recebe alimentos parcialmente digeridos do estômago e inicia a absorção de nutrientes. o duodeno é o segmento mais curto do intestino e tem cerca de 23 a 28 cm (9 a 11 polegadas) de comprimento. tem aproximadamente formato de ferradura, com a extremidade aberta para cima e para a esquerda, e fica atrás do fígado. do ponto de vista anatômico e funcional, o duodeno pode ser dividido em quatro segmentos: duodeno superior (bulbo duodenal), descendente, horizontal e ascendente.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/duodenum,Duodeno
endocardium,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/endocardium,Endocárdio
endometrium,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/endometrium,Endométrio
sclera,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/sclera,Esclera
sperm,"esperma, célula reprodutora masculina, produzida pela maioria dos animais. com exceção de vermes nematóides, decápodes (por exemplo, lagostins), diplópodes (por exemplo, milípedes) e ácaros, os espermatozoides são flagelados; isto é, eles têm uma cauda em forma de chicote. nos vertebrados superiores, especialmente nos mamíferos, os espermatozoides são produzidos nos testículos. o espermatozoide se une (fertiliza) a um óvulo (óvulo) da fêmea para produzir uma nova prole. o esperma maduro tem duas partes distinguíveis: uma cabeça e uma cauda.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/sperm,Esperma
skeleton,"esqueleto, a estrutura de suporte do corpo de um animal. o esqueleto dos invertebrados, que pode ser externo ou interno, é composto por uma variedade de substâncias duras não ósseas. o sistema esquelético mais complexo dos vertebrados é interno e é composto por vários tipos diferentes de tecidos que são conhecidos coletivamente como tecidos conjuntivos. esta designação inclui o osso e as várias substâncias fibrosas que formam as articulações, conectam osso a osso e osso a músculo, envolvem feixes musculares e fixam os órgãos internos à estrutura de suporte. para uma discussão mais detalhada do esqueleto humano, consulte sistema esquelético humano.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/skeleton,Esqueleto
sternum,"esterno, na anatomia dos tetrápodes (vertebrados de quatro membros), osso alongado no centro do tórax que se articula e fornece suporte para as clavículas (clavículas) da cintura escapular e para as costelas. sua origem na evolução não é clara. um esterno aparece em certas salamandras; está presente na maioria dos outros tetrápodes, mas falta em lagartos sem pernas, cobras e tartarugas (nos quais a carapaça fornece o suporte necessário). nas aves desenvolve-se uma quilha alargada, à qual estão ligados os músculos de voo; o esterno do morcego também é quilhado como adaptação para o vôo.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/sternum,Esterno
esophagus,"esôfago, tubo muscular relativamente reto através do qual o alimento passa da faringe ao estômago. o esôfago pode contrair ou expandir para permitir a passagem dos alimentos. anatomicamente, fica atrás da traqueia e do coração e na frente da coluna vertebral; passa pelo diafragma muscular antes de entrar no estômago. ambas as extremidades do esôfago são fechadas por constrições musculares conhecidas como esfíncteres; na extremidade anterior ou superior está o esfíncter esofágico superior e na extremidade distal ou inferior está o esfíncter esofágico inferior.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/esophagus,Esôfago
