Titulo;Paragrafo;;Fonte;Link;Data_acesso;Termo
abdômen;abdômen, na anatomia humana, a cavidade do corpo situada entre o tórax ou tórax acima e a pelve abaixo e da coluna vertebral nas costas até a parede dos músculos abdominais na frente. o diafragma é seu limite superior.;;Enciclopédia Britânica;https://www.britannica.com/science/abdomen;Acesso em maio de 2024;abdomen
barba;barba, cabelo crescido no queixo e nas bochechas de um homem. freqüentemente um distintivo de masculinidade plena, foi tido em alta honra em vários períodos da história.;;Enciclopédia Britânica;https://www.britannica.com/science/beard;Acesso em maio de 2024;beard
estômago;"estômago, expansão em forma de saco do sistema digestivo, entre o esôfago e o intestino delgado; está localizado na porção anterior da cavidade abdominal na maioria dos vertebrados. o estômago serve como um receptáculo temporário para armazenamento e distribuição mecânica de alimentos antes de passarem para o intestino.";;Enciclopédia Britânica;https://www.britannica.com/science/stomach;Acesso em maio de 2024;stomach
bexiga;"bexiga, saco membranoso em animais que serve como receptáculo de um fluido ou gás. veja vesícula biliar; bexiga de natação ; bexiga urinária .";;Enciclopédia Britânica;https://www.britannica.com/science/bladder;Acesso em maio de 2024;bladder
amígdala;amígdala, região do cérebro associada principalmente a processos emocionais. o nome amígdala é derivado da palavra grega amygdale, que significa “amêndoa”, devido ao formato amendoado da estrutura.;;Enciclopédia Britânica;https://www.britannica.com/science/amygdala;Acesso em maio de 2024;amygdala
antebraço;Braço, em zoologia, um dos membros anteriores ou superiores de vertebrados normalmente bípedes, particularmente humanos e outros primatas. O termo às vezes é restrito à parte proximal, do ombro ao cotovelo (a parte distal é então chamada de antebraço).;;Enciclopédia Britânica;https://www.britannica.com/science/forearm;Acesso em maio de 2024;forearm
apêndice;apêndice, em anatomia, um tubo oco vestigial que é fechado em uma extremidade e preso na outra extremidade ao ceco, um início em forma de bolsa do intestino grosso no qual o intestino delgado esvazia seu conteúdo. não está claro se o apêndice serve a algum propósito útil em humanos.;;Enciclopédia Britânica;https://www.britannica.com/science/appendix;Acesso em maio de 2024;appendix
aponeurose;aponeurose, uma folha plana ou fita de material semelhante a um tendão que ancora um músculo ou o conecta à parte que o músculo se move. a aponeurose é composta de tecido conjuntivo fibroso denso contendo fibroblastos (células fusiformes secretoras de colágeno) e feixes de fibras colágenas em arranjos ordenados.;;Enciclopédia Britânica;https://www.britannica.com/science/aponeurosis;Acesso em maio de 2024;aponeurosis
coxa;Músculo quadríceps femoral, grande grupo de músculos carnudos que cobre a parte frontal e as laterais da coxa. Possui quatro partes: reto femoral, vasto lateral, vasto medial e vasto intermediário.;;Enciclopédia Britânica;https://www.britannica.com/science/thigh;Acesso em maio de 2024;thigh
lâmpada;bulbo, em botânica, um caule modificado que é o estágio de repouso de certas plantas com sementes, particularmente monocotiledôneas perenes. um bulbo consiste em um botão subterrâneo relativamente grande, geralmente em forma de globo, com folhas membranosas ou carnudas sobrepostas que surgem de um caule curto.;;Enciclopédia Britânica;https://www.britannica.com/science/bulb;Acesso em maio de 2024;bulb
derme;derme, a camada mais espessa e profunda da pele subjacente à epiderme e composta de tecido conjuntivo. está presente em vários graus de desenvolvimento entre vários grupos de vertebrados, sendo relativamente fino e simples em animais aquáticos e progressivamente mais espesso e complexo em espécies terrestres.;;Enciclopédia Britânica;https://www.britannica.com/science/dermis;Acesso em maio de 2024;dermis
glande;glande, gênero de pequenos pelecípodes (amêijoas) especialmente característicos da época miocena (entre 23,7 e 5,3 milhões de anos atrás). a ornamentação da concha inclui nervuras proeminentes que se estendem do ápice até a margem em ampla expansão.;;Enciclopédia Britânica;https://www.britannica.com/science/glans;Acesso em maio de 2024;glans
glote;glote, seja o espaço entre a prega vocal e a cartilagem aritenóide de um lado da laringe e as do outro lado, ou as estruturas que circundam esse espaço. veja laringe.;;Enciclopédia Britânica;https://www.britannica.com/science/glottis;Acesso em maio de 2024;glottis
duodeno;duodeno, a primeira parte do intestino delgado, que recebe alimentos parcialmente digeridos do estômago e inicia a absorção de nutrientes. o duodeno é o segmento mais curto do intestino e tem cerca de 23 a 28 cm (9 a 11 polegadas) de comprimento.;;Enciclopédia Britânica;https://www.britannica.com/science/duodenum;Acesso em maio de 2024;duodenum
endocárdio;;;Enciclopédia Britânica;https://www.britannica.com/science/endocardium;Acesso em maio de 2024;endocardium
endométrio;;;Enciclopédia Britânica;https://www.britannica.com/science/endometrium;Acesso em maio de 2024;endometrium
esclera;;;Enciclopédia Britânica;https://www.britannica.com/science/sclera;Acesso em maio de 2024;sclera
esperma;"esperma, célula reprodutora masculina, produzida pela maioria dos animais. com exceção de vermes nematóides, decápodes (por exemplo, lagostins), diplópodes (por exemplo, milípedes) e ácaros, os espermatozoides são flagelados; isto é, eles têm uma cauda em forma de chicote.";;Enciclopédia Britânica;https://www.britannica.com/science/sperm;Acesso em maio de 2024;sperm
esqueleto;esqueleto, a estrutura de suporte do corpo de um animal. o esqueleto dos invertebrados, que pode ser externo ou interno, é composto por uma variedade de substâncias duras não ósseas.;;Enciclopédia Britânica;https://www.britannica.com/science/skeleton;Acesso em maio de 2024;skeleton
esterno;esterno, na anatomia dos tetrápodes (vertebrados de quatro membros), osso alongado no centro do tórax que se articula e fornece suporte para as clavículas (clavículas) da cintura escapular e para as costelas. sua origem na evolução não é clara.;;Enciclopédia Britânica;https://www.britannica.com/science/sternum;Acesso em maio de 2024;sternum
estômago;"estômago, expansão em forma de saco do sistema digestivo, entre o esôfago e o intestino delgado; está localizado na porção anterior da cavidade abdominal na maioria dos vertebrados. o estômago serve como um receptáculo temporário para armazenamento e distribuição mecânica de alimentos antes de passarem para o intestino.";;Enciclopédia Britânica;https://www.britannica.com/science/stomach;Acesso em maio de 2024;stomach
esôfago;esôfago, tubo muscular relativamente reto através do qual o alimento passa da faringe ao estômago. o esôfago pode contrair ou expandir para permitir a passagem dos alimentos.;;Enciclopédia Britânica;https://www.britannica.com/science/esophagus;Acesso em maio de 2024;esophagus
epiglote;A epiglote, na parte superior da laringe, é uma projeção em forma de aba na garganta. À medida que o alimento é engolido, toda a estrutura da laringe sobe até a epiglote, bloqueando a passagem para o trato respiratório.;;Enciclopédia Britânica;https://www.britannica.com/science/epiglottis;Acesso em maio de 2024;epiglottis
metacarpo;metacarpo, qualquer um dos vários ossos tubulares entre os ossos do punho (carpo) e cada um dos dedos dos membros anteriores nos vertebrados terrestres, correspondendo aos ossos metatarsais do pé. originalmente em número de cinco, os metacarpos de muitos mamíferos sofreram muitas mudanças e reduções durante a evolução.;;Enciclopédia Britânica;https://www.britannica.com/science/metacarpal;Acesso em maio de 2024;metacarpal
faringe;faringe, passagem em forma de cone que vai das cavidades oral e nasal na cabeça até o esôfago e a laringe. a câmara da faringe desempenha funções respiratórias e digestivas.;;Enciclopédia Britânica;https://www.britannica.com/science/pharynx;Acesso em maio de 2024;pharynx
fígado;"fígado, a maior glândula do corpo, uma massa esponjosa de lóbulos em forma de cunha que tem muitas funções metabólicas e secretoras. o fígado secreta bile, um fluido digestivo; metaboliza proteínas, carboidratos e gorduras; armazena glicogênio, vitaminas e outras substâncias; sintetiza fatores de coagulação sanguínea; remove resíduos e substâncias tóxicas do sangue; regula o volume sanguíneo; e destrói glóbulos vermelhos velhos.";;Enciclopédia Britânica;https://www.britannica.com/science/liver;Acesso em maio de 2024;liver
gordo;gordura, qualquer substância de origem vegetal ou animal não volátil, insolúvel em água e oleosa ou gordurosa ao toque. as gorduras são geralmente sólidas em temperaturas normais, como 25 °c (77 °f), mas começam a se liquefazer em temperaturas um pouco mais altas.;;Enciclopédia Britânica;https://www.britannica.com/science/fat;Acesso em maio de 2024;fat
hemoglobina;hemoglobina, proteína contendo ferro no sangue de muitos animais - nos glóbulos vermelhos (eritrócitos) dos vertebrados - que transporta oxigênio para os tecidos. a hemoglobina forma uma ligação reversível instável com o oxigênio.;;Enciclopédia Britânica;https://www.britannica.com/science/hemoglobin;Acesso em maio de 2024;hemoglobin
cárdia;;;Enciclopédia Britânica;https://www.britannica.com/science/cardia;Acesso em maio de 2024;cardia
ceco;ceco, bolsa ou grande estrutura tubular na cavidade abdominal inferior que recebe material alimentar não digerido do intestino delgado e é considerada a primeira região do intestino grosso. ele é separado do íleo (a porção final do intestino delgado) pela válvula ileocecal (também chamada de válvula bauhin), que limita a taxa de passagem do alimento para o ceco e pode ajudar a impedir que o material retorne ao intestino delgado.;;Enciclopédia Britânica;https://www.britannica.com/science/cecum;Acesso em maio de 2024;cecum
cerebelo;cerebelo, seção do cérebro que coordena a entrada sensorial com as respostas musculares, localizada logo abaixo e atrás dos hemisférios cerebrais e acima da medula oblonga.;;Enciclopédia Britânica;https://www.britannica.com/science/cerebellum;Acesso em maio de 2024;cerebellum
cérebro;"cérebro, a massa de tecido nervoso na extremidade anterior de um organismo. o cérebro integra informações sensoriais e direciona as respostas motoras; nos vertebrados superiores é também o centro da aprendizagem.";;Enciclopédia Britânica;https://www.britannica.com/science/brain;Acesso em maio de 2024;brain
