titulo,url,nome_do_canal,data,fonte,anatomia_id
7 CUIDADOS COM A BARBA ( que todo HOMEM DEVE TER ),https://www.youtube.com/watch?v=-uYGIlvQLdY,,Acesso em: 11/5/2024,Youtube,1
O Passo a Passo pra Deixar minha BARBA CRESCER | TUDO o que Eu Fiz pra ela Ficar nesse Estilo,https://www.youtube.com/watch?v=FeU3o4wha-w,,Acesso em: 11/5/2024,Youtube,1
Como fazer barba. Jeito mais fácil,https://www.youtube.com/watch?v=5EXyr3L2aMk,,Acesso em: 11/5/2024,Youtube,1
Como Aliviar a Dor nas Costas em 4 Minutos - Funciona em 90% das pessoas! (Erros no Final),https://www.youtube.com/watch?v=vPs6P6WnxhM,,Acesso em: 11/5/2024,Youtube,2
DA ONDE VEM SUA DOR NAS COSTAS?,https://www.youtube.com/watch?v=PlK3rk0rJyE,,Acesso em: 11/5/2024,Youtube,2
O câncer raro que tem dor nas costas como principal sintoma,https://www.youtube.com/watch?v=Q_Phjyqb5rw,,Acesso em: 11/5/2024,Youtube,2
Fecundação - Desenvolvimento Embrionário - Fonovim Fonoaudiologia Neurológica,https://www.youtube.com/watch?v=n68ZHH1HMdg,,Acesso em: 11/5/2024,Youtube,3
Sintomas da implantação do embrião,https://www.youtube.com/watch?v=zf62Xd5lr8g,,Acesso em: 11/5/2024,Youtube,3
"Embriologia: Fecundação, nidação e formação do embrião - Sistema Reprodutor Feminino - VideoAula 052",https://www.youtube.com/watch?v=Kr4zY-aMMiw,,Acesso em: 11/5/2024,Youtube,3
Anatomia dos Pré-Molares de forma descomplicada,https://www.youtube.com/watch?v=Js25B9HM5cQ,,Acesso em: 11/5/2024,Youtube,4
Resumão dos Molares | Anatomia Dental,https://www.youtube.com/watch?v=mfBAz3YJ23E,,Acesso em: 11/5/2024,Youtube,4
Como Diferenciar Molares Entre Si – Anatomia Dental Resumo,https://www.youtube.com/watch?v=mYpIFvAfXJo,,Acesso em: 11/5/2024,Youtube,4
"Histologia do Coração (Endocárdio, Miocárdio e Epicárdio) - #MRDrops",https://www.youtube.com/watch?v=DhB0M2_hnvA,,Acesso em: 11/5/2024,Youtube,5
Histologia Cardíaca - Endocárdio,https://www.youtube.com/watch?v=2R6nUiQvp2Q,,Acesso em: 11/5/2024,Youtube,5
Anatomia Cardíaca Básica | Anatomia e etc.,https://www.youtube.com/watch?v=uFabswAGE6U,,Acesso em: 11/5/2024,Youtube,5
Veja como diagnosticar e tratar a inflamação do apêndice,https://www.youtube.com/watch?v=zpdDRrELE0Y,,Acesso em: 11/5/2024,Youtube,6
