titulo,url,nome_do_canal,data,fonte,dici_teste_id
Hemoglobina Glicada - A1c,https://www.youtube.com/watch?v=0ztoNilEe08,,Acesso em: 6/5/2024,Youtube,1
"O QUE É , E COMO ABAIXAR A HEMOGLOBINA GLICADA   A1c.",https://www.youtube.com/watch?v=d6hY26jz-U0,,Acesso em: 6/5/2024,Youtube,1
5 Steps to Lower HbA1c Fast!,https://www.youtube.com/watch?v=UydOfkiyQaw,,Acesso em: 6/5/2024,Youtube,1
Dor abdominal,https://www.youtube.com/watch?v=DeRq0SyWVng,,Acesso em: 6/5/2024,Youtube,2
Principais causas de dor abdominal. Você já sentiu dores na barriga?,https://www.youtube.com/watch?v=AzuhMaHpCdw,,Acesso em: 6/5/2024,Youtube,2
Saiba como identificar cada tipo de dor abdominal - Você Bonita (28/03/2023),https://www.youtube.com/watch?v=IGrwS0tOPGo,,Acesso em: 6/5/2024,Youtube,2
Legalização do aborto | Quebrando o Tabu,https://www.youtube.com/watch?v=ueXquU6V9RE,,Acesso em: 6/5/2024,Youtube,3
Aborto e Cytotec: como funciona e quais os mitos,https://www.youtube.com/watch?v=IzF9uZObWvA,,Acesso em: 6/5/2024,Youtube,3
Por que aborto é um problema de saúde pública?,https://www.youtube.com/watch?v=tyKDUrx7ZzM,,Acesso em: 6/5/2024,Youtube,3
Leucemia Mieloide Aguda,https://www.youtube.com/watch?v=vTwPeq8N_G4,,Acesso em: 6/5/2024,Youtube,4
Subtipos da leucemia mieloide aguda,https://www.youtube.com/watch?v=a6lbJlFFH7o,,Acesso em: 6/5/2024,Youtube,4
Leucemia Mieloide Aguda com Dra. Morgani Rodrigues,https://www.youtube.com/watch?v=__GdFSuqXKY,,Acesso em: 6/5/2024,Youtube,4
Aula Poluição do Ar,https://www.youtube.com/watch?v=9QQaZGka58s,,Acesso em: 6/5/2024,Youtube,5
Por que no Brasil a poluição do ar é diferente?,https://www.youtube.com/watch?v=otld-LDF6oA,,Acesso em: 6/5/2024,Youtube,5
Poluição Atmosférica - Geobrasil {Prof. Rodrigo Rodrigues},https://www.youtube.com/watch?v=28B5SPFf9Yg,,Acesso em: 6/5/2024,Youtube,5
ENFermagem | fisiologia - Distúrbios Adrenais - Doença de Addison,https://www.youtube.com/watch?v=aaFW10ovrZQ,,Acesso em: 6/5/2024,Youtube,6
Como deve ser o tratamento da Doença de Addison?,https://www.youtube.com/watch?v=IfNPiEuPbus,,Acesso em: 6/5/2024,Youtube,6
DOENÇA DE ADDISON | Dicas de Saúde: Dra. Andrea Audi,https://www.youtube.com/watch?v=u0E-G5Zzni8,,Acesso em: 6/5/2024,Youtube,6
Álcool: A estrutura cerebral e como ela pode ser recuperada,https://www.youtube.com/watch?v=0LK8M0WfY4M,,Acesso em: 6/5/2024,Youtube,7
O transtorno do Uso de Álcool e o papel das medicações na recuperação de longo prazo,https://www.youtube.com/watch?v=b6UbmBeCF3k,,Acesso em: 6/5/2024,Youtube,7
ÁLCOOL | Efeitos energéticos e espirituais,https://www.youtube.com/watch?v=KTfVk1Zv8XY,,Acesso em: 6/5/2024,Youtube,7
Como avaliar se o paciente tem deficiência de alfa-1 antitripsina?,https://www.youtube.com/watch?v=kytqZLDOeMc,,Acesso em: 6/5/2024,Youtube,8
Alfa1-Antitripsina,https://www.youtube.com/watch?v=SOxP8Va-93c,,Acesso em: 6/5/2024,Youtube,8
ALFA 1 ANTITRIPSINA,https://www.youtube.com/watch?v=SM6WyecwFmQ,,Acesso em: 6/5/2024,Youtube,8
"ABSCESSO - O que é, tipos e sintomas | Biologia com Samuel Cunha",https://www.youtube.com/watch?v=inhZpSirWFs,,Acesso em: 6/5/2024,Youtube,9
