titulo,url,nome_do_canal,data,fonte,dici_teste_id
Acidentes por animais peçonhentos: o que são?,https://www.youtube.com/watch?v=DY7qNNM1AjY,,Acesso em: 4/5/2024,Youtube,1
ANIMAIS PEÇONHENTOS - PRIMEIROS SOCORROS EM PICADAS DE ABELHAS,https://www.youtube.com/watch?v=eurZXdo_8zA,,Acesso em: 4/5/2024,Youtube,1
Acidente com Abelhas,https://www.youtube.com/watch?v=rAaggoAltWA,,Acesso em: 4/5/2024,Youtube,1
"Brasil em alerta após caso de morte por arenavírus, que causa a febre hemorrágica",https://www.youtube.com/watch?v=mcDuEiCnu2E,,Acesso em: 4/5/2024,Youtube,2
Novo vírus em São Paulo. ENTENDA O ARENAVÍRUS,https://www.youtube.com/watch?v=NVcHPIevjAk,,Acesso em: 4/5/2024,Youtube,2
Infectologista explica o Arenavírus e o Coronavírus - TV SOROCABA/SBT,https://www.youtube.com/watch?v=eOEswhJ3pQg,,Acesso em: 4/5/2024,Youtube,2
A MELHOR CONDUTA EM EXACERBAÇÕES DE ASMA,https://www.youtube.com/watch?v=e222QljPOQk,,Acesso em: 4/5/2024,Youtube,3
"Asma: Causas, sintomas e tratamento - Tribuna Independente - 06/09/18",https://www.youtube.com/watch?v=gLOAnjxb-70,,Acesso em: 4/5/2024,Youtube,3
Asma em 5 Minutos (ou quase isso) │ MEDICINA RESUMIDA,https://www.youtube.com/watch?v=Nv8gawXDdQg,,Acesso em: 4/5/2024,Youtube,3
Microbiologia: Micologia - Tratamento da Aspergilose,https://www.youtube.com/watch?v=CA3W7LF0V5I,,Acesso em: 4/5/2024,Youtube,4
Micoses oportunistas (Aspergilose),https://www.youtube.com/watch?v=bEuPgOaGJEg,,Acesso em: 4/5/2024,Youtube,4
COVID-19: aumento de doenças fúngicas graves,https://www.youtube.com/watch?v=1UcJ0CTDPSY,,Acesso em: 4/5/2024,Youtube,4
Acidentes por animais peçonhentos: o que são?,https://www.youtube.com/watch?v=DY7qNNM1AjY,,Acesso em: 4/5/2024,Youtube,5
Animais Peçonhentos: Aranhas.,https://www.youtube.com/watch?v=E-LtznXJ9L8,,Acesso em: 4/5/2024,Youtube,5
